,href,address,price,space,lng,lat
83,https://www.immobiliare.it/68761613-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780.0,50.0,9.1578089,45.4411723
84,https://www.immobiliare.it/68761155-Affitto-Trilocale-via-Cola-di-Rienzo-Milano.html,"via Cola di Rienzo, Solari, Milano",1300.0,105.0,9.1601483,45.45608199999999
85,https://www.immobiliare.it/68760983-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700.0,70.0,9.2036471,45.42440819999999
86,https://www.immobiliare.it/68761035-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970.0,56.0,9.1586944,45.4647533
87,https://www.immobiliare.it/68761131-Affitto-Trilocale-via-Averardo-Buschi-Milano.html,"via Averardo Buschi, Città Studi, Milano",1300.0,80.0,9.2348315,45.4827677
88,https://www.immobiliare.it/68760901-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780.0,50.0,9.1578089,45.4411723
89,https://www.immobiliare.it/68760579-Affitto-Monolocale-via-Passo-Buole-Milano.html,"via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500.0,20.0,9.208024199999999,45.4477929
90,https://www.immobiliare.it/68761055-Affitto-Bilocale-via-Enrico-Caviglia-Milano.html,"via Enrico Caviglia, Bologna - Sulmona, Milano",850.0,60.0,9.2301782,45.4422353
91,https://www.immobiliare.it/68760935-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680.0,22.0,9.181296399999999,45.44276379999999
92,https://www.immobiliare.it/68759099-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780.0,50.0,9.1578089,45.4411723
93,https://www.immobiliare.it/68759659-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680.0,22.0,9.181296399999999,45.44276379999999
94,https://www.immobiliare.it/68759763-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700.0,70.0,9.2036471,45.42440819999999
95,https://www.immobiliare.it/68759365-Affitto-Trilocale-via-Cola-di-Rienzo-Milano.html,"via Cola di Rienzo, Solari, Milano",1300.0,105.0,9.1601483,45.45608199999999
96,https://www.immobiliare.it/68759475-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970.0,56.0,9.1586944,45.4647533
