OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
236;A601;VIA VAIANO VALLE 43;INDEFINITO/MISTO;SI;5;85;PARCO DELLE ABBAZIE;9.21638417620172;45.4293387745988;(45.4293387745988, 9.21638417620172)
237;A591;VIA MURILLO 4/6;RESIDENZIALE;SI;7;58;DE ANGELI - MONTE ROSA;9.14486216653058;45.4720698290445;(45.4720698290445, 9.14486216653058)
238;A593;VIA NEGROTTO 40;PRODUTTIVO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.14745555781812;45.5042946361833;(45.5042946361833, 9.14745555781812)
239;A606;VIA COSENZ 28;INDUSTRIALE;SI;9;77;BOVISA;9.1647023076214;45.5079729968872;(45.5079729968872, 9.1647023076214)
240;S531;VIA ANGELO MOSSO 4;RESIDENZIALE;SI;2;20;LORETO - CASORETTO - NOLO;9.22687200628168;45.4942203506954;(45.4942203506954, 9.22687200628168)
241;R348;VIA GIOVANNI DA UDINE 38;INDUSTRIALE;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.1371393807097;45.5000678707665;(45.5000678707665, 9.1371393807097)
242;A592;VIA MONTALBINO 9/2;PRODUTTIVO;SI;9;12;MACIACHINI - MAGGIOLINA;9.19306613859415;45.4983507491178;(45.4983507491178, 9.19306613859415)
243;A588;VIA GIOVANNI BARRELLA 6;TERZIARIO;SI;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.13574267187658;45.5098695083944;(45.5098695083944, 9.13574267187658)
244;A595;VIA PASTA 39;PRODUTTIVO;SI;9;84;PARCO NORD;9.18087524472117;45.5199556138778;(45.5199556138778, 9.18087524472117)
245;A589;VIA GIOVANNI MELI 26;PRODUTTIVO;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.23958425939577;45.5055189322703;(45.5055189322703, 9.23958425939577)
246;A599;VIA TRAPANI 7;RUDERE;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13321586731441;45.5012659472413;(45.5012659472413, 9.13321586731441)
247;A600;VIA TRAPANI 8;RUDERE;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13333150524976;45.5014536839929;(45.5014536839929, 9.13333150524976)
248;A594;VIA  ASIAGO 35;PRODUTTIVO;SI;2;16;GORLA - PRECOTTO;9.2280839900315;45.5059156442824;(45.5059156442824, 9.2280839900315)
249;A585;VLE CERTOSA 177;PRODUTTIVO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13492867810852;45.4969826619996;(45.4969826619996, 9.13492867810852)
250;A59;VIA FANTI MANFREDO 19;SERVIZI;SI;1;4;GUASTALLA;9.20269206170132;45.4584389989319;(45.4584389989319, 9.20269206170132)
251;A480;VIA SBODIO GAETANO 14;INDUSTRIALE;SI;3;23;LAMBRATE - ORTICA;9.24572860939247;45.4831127750373;(45.4831127750373, 9.24572860939247)
252;S523;VIA RAVENNA 30;RESIDENZIALE;SI;4;35;LODI - CORVETTO;9.22007799873317;45.4344450677921;(45.4344450677921, 9.22007799873317)
253;S572;VIA ROVETTA GEROLAMO 32;RESIDENZIALE;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.22466949174333;45.5010235614637;(45.5010235614637, 9.22466949174333)
254;A586;VIA MEDICI DEL VASCELLO 26;TERZIARIO;SI;4;33;ROGOREDO - SANTA GIULIA;9.23880889957254;45.4411461746469;(45.4411461746469, 9.23880889957254)
255;A622;VIA PESARO 50;PRODUTTIVO;SI;9;83;BRUZZANO;9.171913741699;45.5340334060772;(45.5340334060772, 9.171913741699)
