Regione;Provincia;Comune;Indirizzo;Categoria Patrimoniale;Codice bene;Codice compendio;Descrizione;Superficie Fondiaria area (MQ)
FRIULI VENEZIA GIULIA;UDINE;TARCENTO;"LOCALITA' ZOMEAIS -";PATRIMONIO DISPONIBILE;UD0843;UDB1152;"EX POLIGONO DI TIRO ESERCITO CON FABBRICATO E TERRENO SCOPERTO";9110
FRIULI VENEZIA GIULIA;UDINE;TARCENTO;"Via Alfonso Morgante 14";PATRIMONIO DISPONIBILE;UD1127;UDB1275;"AREA ESTERNA SUB.61 DESTINATA A POSTI AUTO ESTERNI";325
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"VIA LUIGI CADORNA SNC";PATRIMONIO DISPONIBILE;UD0087;UDB0321;"BARACCAMENTI INVERNALI - COLONIA ESTIVA";19557,41
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"SP 76 snc";PATRIMONIO DISPONIBILE;UD0091;UDB0360;"EX CORPO DI GUARDIA DI CAVE DEL PREDIL - BOSCO";3897
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"VIA PREDIL snc";PATRIMONIO INDISPONIBILE;UD0116;UDB0504;"EX CASERMETTA GUARDIA DI FINANZA (ORA PARCHEGGIO)";625,42
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"VIA PRINCIPE DI PIEMONTE snc";PATRIMONIO DISPONIBILE;UD0123;UDB0540;"Parcheggio";146
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"Via Armando Diaz 21";PATRIMONIO DISPONIBILE;UD1250;UDB0541;"TERRENI DI PERTINENZA DELLA CASERMA LA MARMORA";887
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"CAMPO TIRO A SEGNO -";PATRIMONIO INDISPONIBILE;UD0585;UDB0809;"PALAZZINA EX ENTE NAZIONALE TRE VENEZIE";413
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"S.S. 13 SNC";PATRIMONIO DISPONIBILE;UD0376;UDB1065;"PARTE DI STRADA-PARCHEGGIO";651,64
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"VIA LUSSARI -";PATRIMONIO DISPONIBILE;UD0377;UDB1065;"TERRENO-PRATO";3856
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"Passo del Predil -";PATRIMONIO DISPONIBILE;UD1136;UDB1099;"STRADA MAPP. 265/3";242
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"VIA SOTTOMONTE /";PATRIMONIO DISPONIBILE;UD0897;UDB1197;"PORZIONE DELL'EX ACQUEDOTTO MILITARE (PERTINENZA SCOPERTA DEL CONDOMINIO BARTOLO)";17
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"LOC FUSINE VAL ROMANA 0";PATRIMONIO DISPONIBILE;UD0902;UDB1202;"TRATTO STRADALE BIVIO POSCOLLE MESULE";2243
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"LOCALITA' COCCAU - SS13 - VIA FRIULI SN";PATRIMONIO DISPONIBILE;UD0791;UDB1234;"TERRENI EX DEMANIO MILITARE LOCALITA' COCCAU";2671
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"- -";PATRIMONIO INDISPONIBILE;UD1067;UDB1258;"EX SBARRAMENTO DIFENSIVO DENOMINATO PRATI DI COLMA - PORTICINA IN TARVISIO C.C. COCCAU";761
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"CAMPOROSSO IN VALCANALE -";PATRIMONIO DISPONIBILE;UD1065;UDB1284;"ALIQUOTA EX OPERE DIFENSIVE QUOTA 845 E FORCELLA NEBRIA";72
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"LOCALITÀ COCCAU -";PATRIMONIO DISPONIBILE;UD1059;UDB1318;"PORZIONE EX OPERE DIFENSIVE DENOMINATE PRATI DI COLMA-PORTICINA C.C. FUSINE VAL ROMANA";676
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"CAMPOROSSO IN VALCANALE -";PATRIMONIO DISPONIBILE;UD1064;UDB1320;"EX OPERE DIFENSIVE QUOTA845 E FORCELLA NEBRIA";1131
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"- -";PATRIMONIO DISPONIBILE;UD1020;UDB1346;"CASERMETTE MONTE FORNO IN TARVISIO C.C. FUSINE IN VAL ROMANA";35089
FRIULI VENEZIA GIULIA;UDINE;TARVISIO;"LOC COCCAU VIA FRIULI 15";PATRIMONIO DISPONIBILE;UD0996;UDB1369;"TERRENI IN QUOTA IN C.C. DI TARVISIO E COCCAU";1993
FRIULI VENEZIA GIULIA;UDINE;TAVAGNACCO;"ADEGLIACCO -";PATRIMONIO INDISPONIBILE;UD0496;UDB0505;"CIMITERO MILITARE BRITANNICO E RITAGLI PERIFERICI";7260
FRIULI VENEZIA GIULIA;UDINE;TAVAGNACCO;"VIA ROMA snc";PATRIMONIO INDISPONIBILE;UD0336;UDB1069;"TERRENO incolto";1663,27
FRIULI VENEZIA GIULIA;UDINE;TAVAGNACCO;"- -";PATRIMONIO DISPONIBILE;UD1032;UDB1293;"TERRENO IN COMPARTO INDUSTRIALE/ARTIGIANALE EX CONFISCA D.C.";2280
FRIULI VENEZIA GIULIA;UDINE;TERZO DI AQUILEIA;"/ /";PATRIMONIO DISPONIBILE;UD0925;UDB1222;"PISTA CICLABILE ""GRADO - PALMANOVA"" (REALIZZATA DALLA PROVINCIA DI UDINE)";183
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"VIA PASSO MONTE CROCE SNC";PATRIMONIO DISPONIBILE;UD0065;UDB0240;"CIGLIO STRADALE - MARCIAPIEDE";1293,66
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"VIA MONTELLO SNC";PATRIMONIO DISPONIBILE;UD0364;UDB0240;"CIGLIO STRADALE";2080,76
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"VIA BRASIL -";PATRIMONIO DISPONIBILE;UD0594;UDB0840;"EX ALVEO FIUME TAGLIAMENTO";50806
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"VIA LUTISEIT .";PATRIMONIO DISPONIBILE;UD0764;UDB1109;"TERRENI DI VARIA NATURA CON PROPRIETA' IN QUOTA";4158
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"VIA PAULARO -";PATRIMONIO DISPONIBILE;UD0784;UDB1116;"TERRENO ALLINEATO AL MURO DI CINTA POSTERIORE DEL PERIMETRO DELLA CASA CIRCONDARIALE DI N. C. TOLMEZ";3310
FRIULI VENEZIA GIULIA;UDINE;TOLMEZZO;"- -";PATRIMONIO DISPONIBILE;UD1133;UDB1298;"TERRENI VARI";17622
FRIULI VENEZIA GIULIA;UDINE;TORREANO;"VIA LIBERTA' snc";PATRIMONIO DISPONIBILE;UD0162;UDB0782;"TERRENO CON SOVRAERETTO DEPURATORE COMUNALE";4702
FRIULI VENEZIA GIULIA;UDINE;TORREANO;"VIA CAMPO SPORTIVO snc";PATRIMONIO DISPONIBILE;UD0209;UDB0854;"Terreno con palestra e depositi";2116,81
FRIULI VENEZIA GIULIA;UDINE;TORREANO;"FRAZIONE TAMORIS snc";PATRIMONIO DISPONIBILE;UD0944;UDB1237;"EX SBARRAMENTO DIFENSIVO ""BOCCHETTA DI CALLA""";5620
FRIULI VENEZIA GIULIA;UDINE;TORREANO;"- -";PATRIMONIO DISPONIBILE;UD0985;UDB1292;"TERRENO FG.13 MAPP.491";1720
FRIULI VENEZIA GIULIA;UDINE;TORREANO;"- -";PATRIMONIO DISPONIBILE;UD1014;UDB1382;"CASERMETTA EX CORPO DI GUARDIA DENOMINATA MLADESENA IN TORREANO";4490
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA PIORNET -";PATRIMONIO DISPONIBILE;UD0327;UDB1059;"BOSCO";25657,12
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA TOLMEZZO SNC";PATRIMONIO DISPONIBILE;UD0409;UDB1059;"BOSCO";6217,51
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"S.S. N°512 DEL LAGO DI CAVAZZO SNC";PATRIMONIO DISPONIBILE;UD0410;UDB1059;"BOSCO E INCOLTO";1737,93
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA 8 OTTOBRE SNC";PATRIMONIO DISPONIBILE;UD0411;UDB1059;"TERRENO A PRATO";909,26
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA ROJATAS SNC";PATRIMONIO DISPONIBILE;UD0412;UDB1059;"TERRENO A PRATO";2028,67
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA LAGO SNC";PATRIMONIO DISPONIBILE;UD0413;UDB1059;"BOSCO";3608,05
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"VIA LAGO SNC";PATRIMONIO DISPONIBILE;UD0414;UDB1059;"TERRENO A PRATO";926,07
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"TRASAGHIS SNC";PATRIMONIO DISPONIBILE;UD0836;UDB1148;"EX SBARRAMENTO DIFENSIVO DI TRASAGHIS";3637
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"- -";PATRIMONIO DISPONIBILE;UD1049;UDB1266;"EX SBARRAMENTO DIFENSIVO DENOMINATO STAVOLI SORACLAP FG. 55 N. 891 IN COMUNE DI TRASAGHIS";1750
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"- -";PATRIMONIO DISPONIBILE;UD1029;UDB1312;"TERRENI BOSCHIVI MONTANI IN QUOTA 2/18 EX CONFISCA D.C.";10100
FRIULI VENEZIA GIULIA;UDINE;TRASAGHIS;"- -";PATRIMONIO DISPONIBILE;UD1051;UDB1381;"EX SBARRAMENTO DIFENSIVO DENOMINATO STAVOLI SORACLAP";720
FRIULI VENEZIA GIULIA;UDINE;TREPPO CARNICO;"VIA ROMA snc";PATRIMONIO DISPONIBILE;UD0158;UDB0760;"TERRENO INCOLTO";36,16
FRIULI VENEZIA GIULIA;UDINE;TREPPO CARNICO;"TREPPO CARNICO -";PATRIMONIO DISPONIBILE;UD0601;UDB0860;"TERRENO DEMANIALE";7250
FRIULI VENEZIA GIULIA;UDINE;TRICESIMO;"VIA SAN GIOVANNI -";PATRIMONIO DISPONIBILE;UD0207;UDB0852;"Terreno incolto";586,07
FRIULI VENEZIA GIULIA;UDINE;TRIVIGNANO UDINESE;"VIA GORIZIA SN";PATRIMONIO DISPONIBILE;UD0923;UDB1219;"EX SBARRAMENTO DIFENSIVO EST CLAUIANO TRIVIGNANO UDINESE";4520
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA MONTE SEI BUSI snc";PATRIMONIO DISPONIBILE;UD0051;UDB0173;"EX PIAZZA D'ARMI DI PLANIS - TERRENO";124005,31
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Buttrio -";PATRIMONIO DISPONIBILE;UD1137;UDB0180;"AREA ESTERNA ALLA RECINZIONE FG. 52 MAPP.220";460
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA DEL BON snc";PATRIMONIO INDISPONIBILE;UD0002;UDB0250;"RACCORDO FERROVIARIO area a incolto sterile";1410
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA DEL BON snc";PATRIMONIO INDISPONIBILE;UD0021;UDB0250;"Raccordo ferroviario via del Bon Area a incolto sterile";1001
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA DEL BON snc";PATRIMONIO INDISPONIBILE;UD0022;UDB0250;"Raccordo ferroviaRIO VIA DEL Bon area a incolto sterile";498
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Cividale -";PATRIMONIO DISPONIBILE;UD1119;UDB0318;"STRADA ACCESSO SECONDARIO";480
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA MONTE SEI BUSI -";PATRIMONIO DISPONIBILE;UD0088;UDB0322;"Ex casermetta di C.A.T.";4857
FRIULI VENEZIA GIULIA;UDINE;UDINE;"GIARDINO GRANDE -";PATRIMONIO DISPONIBILE;UD0473;UDB0343;"RIFUGIO ANTIAEREO DEL GIARDINO GRANDE";420
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA CORMOR BASSO snc";PATRIMONIO DISPONIBILE;UD0142;UDB0695;"RELITTO EX ALVEO IN SINISTRA DEL TORRENTE CORMOR";5969
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA AGOSTINO E ANGELO CANDOLINO snc";PATRIMONIO INDISPONIBILE;UD0151;UDB0718;"PORZIONE DI STRADA";716
FRIULI VENEZIA GIULIA;UDINE;UDINE;"STRADA VICINALE SEMANIS - ZONA CORMOR -";PATRIMONIO INDISPONIBILE;UD0576;UDB0791;"EX POLIGONO DEL CORMOR";1995
FRIULI VENEZIA GIULIA;UDINE;UDINE;"AUTOSTRADA A23 snc";PATRIMONIO DISPONIBILE;UD0260;UDB0936;"Porzione di tangenziale e di autostrada";8215
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIALE VENEZIA SNC";PATRIMONIO DISPONIBILE;UD0875;UDB1181;"PERTINENZE IDRAULICHE TORRENTE CORMOR - VIALE VENEZIA";2635
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA ZILLI 36";PATRIMONIO DISPONIBILE;UD0877;UDB1183;"TERRENI DI PERTINENZA DEL FABBRICATO";1480
FRIULI VENEZIA GIULIA;UDINE;UDINE;"VIA CERNEGLONS SN";PATRIMONIO DISPONIBILE;UD0879;UDB1184;"EX SBARRAMENTI DIFENSIVI MOLINO DEL VICARIO E SAN BERNARDO - COMUNE DI UDINE";2260
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Basilio Brollo -";PATRIMONIO DISPONIBILE;UD0950;UDB1243;"TERRENO EDIFICABILE DESTINATO A VIABILITA' PUBBLICA";170
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Forgaria -";PATRIMONIO DISPONIBILE;UD0952;UDB1245;"TERRENO PERIFERIA OVEST DI UDINE";1726
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Giacinto Calligaris 10";PATRIMONIO INDISPONIBILE;UD1100;UDB1255;"AREA ESTERNA DI PERTINENZA - FG 24 PC 1369";18
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Cormor Alto -";PATRIMONIO INDISPONIBILE;UD1132;UDB1282;"AREA ANTISTANTE POLIGONO T.S.N.";7670
FRIULI VENEZIA GIULIA;UDINE;UDINE;"Via Verona 22";PATRIMONIO INDISPONIBILE;UD1135;UDB1300;"TERRENO FG. 62 PC. 633";220
FRIULI VENEZIA GIULIA;PORDENONE;VALVASONE ARZENE;"VIA PONTE DELLA DELIZIA -";PATRIMONIO DISPONIBILE;PN0199;PNB0220;"TERRENI EX FORTIFICAZIONE PERMANENTE";780
FRIULI VENEZIA GIULIA;PORDENONE;VALVASONE ARZENE;"VIALE PONTE ROSSO 5";PATRIMONIO DISPONIBILE;PN0250;PNB0275;"EX SBARRAMENTO DIFENSIVO EST VALVASONE E DELIZIA EST";3126
FRIULI VENEZIA GIULIA;UDINE;VARMO;"VARMO -";PATRIMONIO DISPONIBILE;UD0599;UDB0856;"EX COSTRUENDA FERROVIA PORTOGRUARO-SASSETO E ECC.AZIONE BERTIOLO-UDINE";41285
FRIULI VENEZIA GIULIA;UDINE;VARMO;"VIA SENTINIS 2";PATRIMONIO DISPONIBILE;UD0240;UDB0904;"EX ARGINELLO FIUME VARMO VARMO";565,63
FRIULI VENEZIA GIULIA;UDINE;VARMO;"VIA DEI CASTELLI snc";PATRIMONIO DISPONIBILE;UD0349;UDB1053;"TERRENI FG. 14 PC. 572-573";150
FRIULI VENEZIA GIULIA;UDINE;VARMO;"LOC. CANUSSIO 0";PATRIMONIO DISPONIBILE;UD0882;UDB1180;"TERRENI TRATTO DI EX ARGINE DEL FIUME TAGLIAMENTO LOCALITA' CANUSSIO - COMUNE DI VARMO";9420
FRIULI VENEZIA GIULIA;UDINE;VARMO;"Via delle Acacie -";PATRIMONIO DISPONIBILE;UD1143;UDB1291;"CONFISCA PENALE - TERRENO IN VARMO";6500
FRIULI VENEZIA GIULIA;UDINE;VENZONE;"VENZONE -";PATRIMONIO INDISPONIBILE;UD0533;UDB0689;"N. 4 PALAZZINE SERVIZI PER UFFICIALI E SOTT.";4050
FRIULI VENEZIA GIULIA;UDINE;VENZONE;"S.S.N.13 PONTEBBANA smc";PATRIMONIO INDISPONIBILE;UD0152;UDB0719;"TERRENO INCOLTO";2677
FRIULI VENEZIA GIULIA;UDINE;VENZONE;"VIA PRADON -";PATRIMONIO DISPONIBILE;UD0249;UDB0915;"TERRENI INCOLTI IN PARTE ARBORATI";44983,59
FRIULI VENEZIA GIULIA;UDINE;VENZONE;"FRAZIONI DI PORTIS, BORGO VALE E CARNIA /";PATRIMONIO DISPONIBILE;UD0903;UDB1201;"AREA PRATIVA - BOSCHIVA NEI PRESSI DELLE FRAZIONI DI PORTIS, BORGO VALE E CARNIA";6000
FRIULI VENEZIA GIULIA;UDINE;VENZONE;"Via Portis -";DEMANIO STORICO ARTISTICO;UD1237;UDD0054;"EX SBARRAMENTO DIFENSIVO OPERE CAMPIOLO E PORTIS";24351
FRIULI VENEZIA GIULIA;UDINE;VERZEGNIS;"TERRENI SPARSI SUL TERRITORIO COMUNALE SNC";PATRIMONIO DISPONIBILE;UD0907;UDB1206;"EX SBARRAMENTO DIFENSIVO DI VERZEGNIS  - VALLO DEL LITTORIO - TERRENI EX DIFESA ISCRITTI AI FG. 1, 2";44710
FRIULI VENEZIA GIULIA;UDINE;VILLA SANTINA;"/ /";PATRIMONIO DISPONIBILE;UD0948;UDB1241;"TERRENI AGRICOLI FRAZIONE INVILLINO";3050
FRIULI VENEZIA GIULIA;UDINE;VILLA SANTINA;"- -";PATRIMONIO DISPONIBILE;UD1008;UDB1386;"TERRENI DELL'EX FERROVIA";34412
FRIULI VENEZIA GIULIA;UDINE;VILLA VICENTINA;"VIA SAN ANTONIO 19";PATRIMONIO DISPONIBILE;UD0173;UDB0811;"Terreno demaniale con costruzione di terzi";901,91
FRIULI VENEZIA GIULIA;UDINE;VISCO;"-- LOCALITA' VISCO -";PATRIMONIO DISPONIBILE;UD0701;UDB1086;"VARI TERRENI PROPRIETA' IN QUOTA";1253
FRIULI VENEZIA GIULIA;PORDENONE;VITO D'ASIO;"/ /";PATRIMONIO DISPONIBILE;PN0257;PNB0280;"TERRENI";1160
FRIULI VENEZIA GIULIA;PORDENONE;VITO D'ASIO;"- -";PATRIMONIO DISPONIBILE;PN0288;PNB0294;"EREDITA' VACANTE DNC.M. TERRENI E FABBRICATO RURALE IN VITO D'ASIO";16110
FRIULI VENEZIA GIULIA;PORDENONE;VITO D'ASIO;"Via Casale Blas -";PATRIMONIO DISPONIBILE;PN0334;PNB0306;"TERRENO IN QUOTA IN COMUNE DI VITO D'ASIO";650
FRIULI VENEZIA GIULIA;PORDENONE;VIVARO;"VIA RAUSCEDO -";PATRIMONIO DISPONIBILE;PN0039;PNB0167;"Incolto produttivo e bordo strada";1490
FRIULI VENEZIA GIULIA;PORDENONE;VIVARO;"VIA CASALE VENANTE snc";PATRIMONIO DISPONIBILE;PN0081;PNB0167;"Seminativo incolto";2010
FRIULI VENEZIA GIULIA;PORDENONE;ZOPPOLA;"- -";PATRIMONIO DISPONIBILE;PN0275;PNB0303;"CONFISCA TERRENI IN ZOPPOLA Z.O.";5626
FRIULI VENEZIA GIULIA;PORDENONE;ZOPPOLA;"- -";PATRIMONIO DISPONIBILE;PN0295;PNB0310;"EX ALVEO DEL FIUME ""FIUME""";10920
FRIULI VENEZIA GIULIA;UDINE;ZUGLIO;"VIA FIELIS snc";PATRIMONIO DISPONIBILE;UD0181;UDB0821;"TERRENO INCOLTO E STRADA STERRATA";658
FRIULI VENEZIA GIULIA;UDINE;ZUGLIO;"VIA TRE CROCI -";PATRIMONIO DISPONIBILE;UD0272;UDB0957;"TERRENO/STRADA/DEPURATORE/FOSSO";2886
FRIULI VENEZIA GIULIA;GORIZIA;CAPRIVA DEL FRIULI;"SR56 snc";PATRIMONIO DISPONIBILE;GO0324;GOB0439;"Terreno incolto - scarpata";51,33
FRIULI VENEZIA GIULIA;GORIZIA;CAPRIVA DEL FRIULI;"VIA BOLAFFIO snc";PATRIMONIO DISPONIBILE;GO0359;GOB0439;"Terreno incolto";187
FRIULI VENEZIA GIULIA;GORIZIA;CAPRIVA DEL FRIULI;"VIA PREVAL snc";PATRIMONIO DISPONIBILE;GO0360;GOB0439;"Terreno incolto - scarpata";74
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"STRADA VICINALE MONTICELLO SNC";PATRIMONIO DISPONIBILE;GO0323;GOB0438;"RELITTO DEL TORRENTE VERSA";995,14
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"STRADA VICINALE MONTICELLO SNC";PATRIMONIO DISPONIBILE;GO0368;GOB0438;"RELITTO DEL TORRENTE VERSA";2380,28
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"STRADA COMUNALE CORMONS SNC";PATRIMONIO DISPONIBILE;GO0369;GOB0438;"RELITTO DEL TORRENTE VERSA";3346,18
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"STRADA VICINALE MONTICELLO SNC";PATRIMONIO DISPONIBILE;GO0370;GOB0438;"RELITTO DEL TORRENTE VERSA";5529,18
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"SP 16 SNC";PATRIMONIO DISPONIBILE;GO0330;GOB0454;"RELITTI DI BONIFICA CORMONS";786,72
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"VIA ISONZO 137";PATRIMONIO DISPONIBILE;GO0363;GOB0474;"PIOPPETO";88,88
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"SP 14 SNC";PATRIMONIO DISPONIBILE;GO0341;GOB0480;"TERRENI INCOLTI E RELITTI STRADALI";3130
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"VIA ISONZO snc";PATRIMONIO DISPONIBILE;GO0373;GOB0480;"TERRENI INCOLTI APPARTENENTI AL FOG. 18 SEZ.CORMONS";435
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"VIA ISONZO snc";PATRIMONIO DISPONIBILE;GO0374;GOB0480;"TERRENI INCOLTI E VIGNETO FG.2 SEZ.BRAZZANO";490
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"VIA BELLINI SNC";PATRIMONIO DISPONIBILE;GO0581;GOB0516;"EX SBARRAMENTO DIFENSIVO ""BORGNANO""";4374
FRIULI VENEZIA GIULIA;GORIZIA;CORMONS;"LOCALITA' BORGNANO SNC";PATRIMONIO DISPONIBILE;GO0585;GOB0520;"TERRENI EX SBARRAMENTO DIFENSIVO";203
FRIULI VENEZIA GIULIA;GORIZIA;DOBERDO' DEL LAGO;"SS 55 snc";PATRIMONIO DISPONIBILE;GO0348;GOB0487;"BOSCO";463,62
FRIULI VENEZIA GIULIA;GORIZIA;DOBERDO' DEL LAGO;"FRAZIONI DI VISINTINI E ISSAPI /";PATRIMONIO DISPONIBILE;GO0587;GOB0521;"QUOTA 2/5 TERRENI BOSCHIVI";27712
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"FRAZIONE VISOGLIANO -";PATRIMONIO INDISPONIBILE;TS0200;TSB0217;"CIMITERO";3181
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"VIA DEL LISERT -";PATRIMONIO INDISPONIBILE;TS0231;TSB0298;"TERRENI PER LA BONIFICA DEL LISERT";4334
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LOCALITÀ SAN GIOVANNI DI DUINO 10";PATRIMONIO INDISPONIBILE;TS0085;TSB0376;"ZONA DI RISPETTO DELLA CHIESA DI S.GIOVANNI DEL TIMAVO";10057
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"BORGO S. MAURO -";PATRIMONIO DISPONIBILE;TS0095;TSB0407;"TRATTO DI STRADA E CORTILI - LOC. SISTIANA BORGO S. MAURO";1620
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"FRAZIONE SLIVIA -";PATRIMONIO DISPONIBILE;TS0104;TSB0418;"BOSCO";44321,5
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"FRAZIONE AURISINA CAVE snc";PATRIMONIO DISPONIBILE;TS0118;TSB0467;"TERRENI BOSCHIVI";6989,71
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LOCALITÀ AURISINA 0";PATRIMONIO DISPONIBILE;TS0389;TSB0510;"TERRENI C.C. AURISINA FG. 5 MAPP. 1763/16 E MAPP. 1384/126 (QUOTA PROPRIETA' 1/16)";3300
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LocalitÃš Aurisina Cave 79";PATRIMONIO DISPONIBILE;TS0478;TSB0556;"AREA SCOPERTA 1479/4 IN QUOTA 1/4 LOCALITA AURISINA CAVE ""79""";295
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LocalitÃš Aurisina Cave 67";PATRIMONIO DISPONIBILE;TS0479;TSB0556;"AREA SCOPERTA, IN QUOTA 1/2 LOCALITA AURISINA CAVE ""67""";101
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LocalitÃš Sistiana 61";PATRIMONIO DISPONIBILE;TS0480;TSB0557;"AREA SCOPERTA 445/5, AREA SCOPERTA 445/6, AREA SCOPERTA 445/12";1860
FRIULI VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;"LocalitÃš Sistiana 56A";PATRIMONIO DISPONIBILE;TS0482;TSB0558;"AREA SCOPERTA 2113/8, AREA SCOPERTA 2113/9";67
FRIULI VENEZIA GIULIA;GORIZIA;FARRA D'ISONZO;"STRADA DEI CAMPI snc";PATRIMONIO DISPONIBILE;GO0314;GOB0342;"RELITTI DI BONIFICA";1535,67
FRIULI VENEZIA GIULIA;GORIZIA;FARRA D'ISONZO;"VIA GORIZIA -";PATRIMONIO DISPONIBILE;GO0315;GOB0364;"TERRENI DEMANIALI OLTRE L'ARGINE DESTRO DEL FIUME ISONZO";7893,62
FRIULI VENEZIA GIULIA;GORIZIA;FARRA D'ISONZO;"VIA GORIZIA -";PATRIMONIO DISPONIBILE;GO0361;GOB0364;"TERRENI DEMANIALI OLTRE L'ARGINE DESTRO DEL FIUME ISONZO";7381,4
FRIULI VENEZIA GIULIA;GORIZIA;FOGLIANO REDIPUGLIA;"VIA REDIPUGLIA -";PATRIMONIO INDISPONIBILE;GO0427;GOB0307;"TERRENI PRESSO SACRARIO REDIPUGLIA";18800
FRIULI VENEZIA GIULIA;GORIZIA;FOGLIANO REDIPUGLIA;"FOGLIANO -";PATRIMONIO INDISPONIBILE;GO0504;GOB0441;"CIMITERO MILITARE AUSTRO-UNGARICO";5800
FRIULI VENEZIA GIULIA;GORIZIA;FOGLIANO REDIPUGLIA;"VIA III° ARMATA 17";DEMANIO STORICO ARTISTICO;GO0391;GOD0004;"SACRARIO MILITARE DI REDIPUGLIA";518002,88
FRIULI VENEZIA GIULIA;GORIZIA;GORIZIA;"VIA DEL MONTE SANTO SNC";PATRIMONIO DISPONIBILE;GO0310;GOB0169;"TERRENI INCOLTI E PORZIONI DI STRADE";1992
FRIULI VENEZIA GIULIA;GORIZIA;GORIZIA;"ZONA SACRA DEL SABOTINO snc";PATRIMONIO INDISPONIBILE;GO0027;GOB0309;"Terreno a bosco";142603
FRIULI VENEZIA GIULIA;GORIZIA;GORIZIA;"ZONA SACRA DEL SABOTINO snc";PATRIMONIO INDISPONIBILE;GO0222;GOB0309;"Terreno a bosco";354
